team_id,gf,ga,comp,date
NED,1,2,competitive,2024-07-10
NED,5,2,competitive,2024-09-07
NED,2,2,competitive,2024-09-10
NED,0,1,competitive,2024-10-14
NED,1,1,competitive,2024-11-19
NED,2,2,competitive,2025-03-20
NED,3,3,competitive,2025-03-23
NED,2,1,friendly,2026-03-27
NED,1,1,friendly,2026-03-31
NED,0,1,friendly,2026-06-03
NOR,0,3,qualifier,2023-03-25
NOR,1,2,qualifier,2023-06-17
NOR,6,0,friendly,2023-09-07
NOR,0,1,qualifier,2023-10-15
NOR,3,3,qualifier,2023-11-19
NOR,1,2,friendly,2024-03-22
NOR,2,1,competitive,2024-09-09
NOR,1,5,competitive,2024-10-13
NOR,1,1,friendly,2025-10-14
NOR,1,2,friendly,2026-03-27
NOR,0,0,friendly,2026-03-31
NOR,3,1,friendly,2026-06-01
NZL,0,1,competitive,2024-03-22
NZL,0,0,competitive,2024-03-26
NZL,0,3,friendly,2024-09-07
NZL,1,1,friendly,2024-09-10
NZL,1,0,competitive,2025-06-07
NZL,0,1,competitive,2025-09-05
NZL,1,3,competitive,2025-09-09
NZL,1,1,friendly,2025-10-14
NZL,1,2,friendly,2025-11-15
NZL,0,2,friendly,2025-11-18
NZL,0,4,friendly,2026-06-02
NZL,0,1,friendly,2026-06-06
PAN,1,3,competitive,2024-06-23
PAN,2,1,competitive,2024-06-27
PAN,0,5,competitive,2024-07-06
PAN,0,2,friendly,2024-10-12
PAN,1,2,friendly,2024-10-15
PAN,1,0,competitive,2025-03-20
PAN,1,2,competitive,2025-03-23
PAN,0,1,friendly,2026-01-22
PAN,1,1,friendly,2026-03-27
PAN,2,1,friendly,2026-03-31
PAN,2,6,friendly,2026-05-31
PAN,1,1,friendly,2026-06-06
PAR,1,0,qualifier,2024-09-10
PAR,0,0,qualifier,2024-10-10
PAR,2,1,qualifier,2024-11-14
PAR,2,2,qualifier,2025-03-25
PAR,2,0,qualifier,2025-06-05
PAR,0,1,qualifier,2025-06-10
PAR,0,0,qualifier,2025-09-04
PAR,2,2,competitive,2025-10-10
PAR,0,2,friendly,2025-10-14
PAR,1,2,friendly,2025-11-15
